codigo_clase,nombre_clase,celdas,m2,ha,km2,proporcion
Red vial,NA,734572,73457200,7345.72,73.4572,0.001444738628471031
"Parque nacional, reserva biológica o monumento natural",NA,66122185,6612218500,661221.85,6612.2185,0.13004753090018104
Patrimonio natural del estado,NA,3387127,338712700,33871.27,338.7127,0.006661720316643158
Caña,NA,6246158,624615800,62461.58,624.6158,0.012284794059851667
Banano,NA,5436647,543664700,54366.47,543.6647,0.010692667199758697
Café,NA,9343186,934318600,93431.86,934.3186,0.018375954606477975
Cacao,NA,97231,9723100,972.31,9.7231,1.9123160368876953e-4
Pasto,NA,133172920,13317292000,1331729.2,13317.292,0.2619213117165946
Palma,NA,7355831,735583100,73558.31,735.5831,0.014467272357515252
Piña,NA,6508660,650866000,65086.6,650.866,0.01280107671077071
Cultivo,NA,32678316,3267831600,326783.16,3267.8316,0.06427092979120215
Páramo,NA,37755,3775500,377.55,3.7755,7.425563037785782e-5
Plantación forestal,NA,2841281,284128100,28412.81,284.1281,0.005588163468034174
Cobertura forestal,NA,225538073,22553807300,2255380.73,22553.8073,0.4435828839841694
Suelo desnudo,NA,3278816,327881600,32788.16,327.8816,0.00644869683414134
Zona urbana,NA,4631015,463101500,46310.15,463.1015,0.00910816946402636
Sin información,NA,1036520,103652000,10365.2,103.652,0.0020386027280958068
